#separator:tab
#html:false
#columns:약어	풀네임	한줄정의	사례	위치	태그
IDE	Integrated Development Environment	개발·구현·디버깅·배포 기능을 하나로 통합한 개발 환경 도구	IntelliJ 에서 코딩·컴파일·디버깅·배포를 한 창에서 다 한다.	2-7 단위 모듈 · 통합 구현 · 개발 지원 도구 (2과목)	유형_약어 과목2
Subversion	Subversion, SVN	중앙 집중형 저장소 방식의 버전 관리 시스템	중앙 서버 저장소 하나에 모두가 붙어 작업하는 구형 SI 현장.	2-8 형상 관리 · 버전 관리 (2과목)	유형_약어 과목2
CVS	Concurrent Versions System	가장 오래된 클라이언트-서버 방식의 버전 관리 시스템	파일 단위로만 관리해 폴더 이동 이력이 남지 않던 가장 오래된 도구.	2-8 형상 관리 · 버전 관리 (2과목)	유형_약어 과목2
DRM	Digital Rights Management	디지털 콘텐츠의 불법 복제를 막고 사용 권한을 관리하는 기술	교보 eBook 을 구매 기기에서만 열 수 있게 하는 저작권 보호 장치.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_약어 과목2
Ant	Apache Ant	XML 기반 빌드 스크립트를 사용하는 초기 자바 빌드 자동화 도구	build.xml 로 컴파일 순서를 직접 다 써야 했던 초기 도구.	2-9 빌드 자동화 · 패키징 · 배포 (2과목)	유형_약어 과목2
ISO/IEC 25000	ISO/IEC 25000, SQuaRE	소프트웨어 품질 평가 통합 모델 표준	9126과 14598을 합친 통합 모델 — SQuaRE 라 부른다.	2-10 국제 표준 제품 품질 특성 (2과목)	유형_약어 과목2
STAF	Software Testing Automation Framework	서비스 호출과 컴포넌트 재사용 등 다양한 환경을 지원하는 테스트 프레임워크	분산된 여러 장비에서 테스트를 동시에 돌리는 프레임워크.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_약어 과목2
NTAF	NHN Test Automation Framework	STAF의 재사용성·확장성과 FitNesse의 표현력을 통합한 NHN의 테스트 프레임워크	STAF 의 확장성과 FitNesse 의 표현력을 NHN 이 합친 것.	2-15 테스트 산출물 · 오라클 · 자동화 · 결함 관리 (2과목)	유형_약어 과목2
IPSec	IP Security	네트워크 계층에서 IP 패킷을 암호화·인증하는 보안 프로토콜	본사와 지사를 잇는 사이트 간 VPN 터널의 기반 프로토콜.	2-17 인터페이스 구현 · 보안 (2과목)	유형_약어 과목2
SSL	Secure Sockets Layer	전송 계층과 응용 계층 사이에서 데이터를 암호화하는 보안 프로토콜	https 자물쇠 아이콘 뒤에서 동작하는 그 프로토콜.	2-17 인터페이스 구현 · 보안 (2과목)	유형_약어 과목2
S-HTTP	Secure HyperText Transfer Protocol	HTTP 메시지 단위로 암호화·서명을 적용하는 보안 프로토콜	연결 전체가 아니라 HTTP 메시지 하나하나를 암호화한다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_약어 과목2
APM	Application Performance Management	인터페이스 동작 상태를 실시간 모니터링하는 성능 관리 도구	Scouter 로 「어떤 SQL이 3초 걸렸는지」를 실시간으로 본다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_약어 과목2
TLS	Transport Layer Security	SSL을 표준화·개선한 전송 계층 보안 프로토콜	TLS 1.3 이 현재 표준 — SSL 3.0 이하는 사용 금지 대상이다.	2-17 인터페이스 구현 · 보안 (2과목)	유형_약어 과목2
DBMS	Database Management System	사용자와 데이터베이스 사이에서 데이터베이스를 관리하는 소프트웨어	MySQL·오라클·PostgreSQL 이 사용자와 데이터 파일 사이에서 다 처리해 준다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_약어 과목3
DBA	Database Administrator	데이터베이스 시스템을 설계·관리하고 운영을 총괄하는 관리자	권한 부여, 백업 정책 수립, 인덱스 설계, 장애 복구를 총괄한다.	3-1 데이터베이스 기본 · 스키마 (3과목)	유형_약어 과목3
BCNF	Boyce-Codd Normal Form	3NF를 만족하면서 모든 결정자가 후보키인 정규형	강의실 → 담당교수 처럼 결정자인데 후보키가 아닌 것을 분리한다.	3-6 함수 종속 · 정규화 · 반정규화 (3과목)	유형_약어 과목3
SQL	Structured Query Language	관계형 데이터베이스를 정의·조작·제어하기 위한 표준 질의어	개발자가 하루 종일 치는 그 언어 — SELECT, INSERT, GRANT 모두 SQL이다.	3-7 SQL — DDL (3과목)	유형_약어 과목3
DDL	Data Definition Language	데이터베이스 구조를 정의·변경·삭제하는 데이터 정의어	CREATE TABLE, ALTER TABLE, DROP TABLE, TRUNCATE.	3-7 SQL — DDL (3과목)	유형_약어 과목3
DML	Data Manipulation Language	데이터를 검색·삽입·수정·삭제하는 데이터 조작어	SELECT · INSERT · UPDATE · DELETE — 데이터를 만지는 명령.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_약어 과목3
BETWEEN	BETWEEN A AND B	값이 A 이상 B 이하인 범위를 지정하는 조건 연산자	WHERE score BETWEEN 90 AND 95 — 90점과 95점 모두 포함된다.	3-8 SQL — DML · 조건 연산자 (3과목)	유형_약어 과목3
DCL	Data Control Language	데이터의 보안·무결성·회복·병행 제어를 정의하는 데이터 제어어	COMMIT · ROLLBACK · SAVEPOINT · GRANT · REVOKE.	3-9 SQL — DCL · 조인 · 서브쿼리 (3과목)	유형_약어 과목3
DAS	Direct Attached Storage	서버에 케이블로 직접 연결한 스토리지	서버에 SATA 케이블로 직접 꽂은 디스크.	3-13 물리 데이터베이스 설계 (3과목)	유형_약어 과목3
NAS	Network Attached Storage	네트워크(이더넷)를 통해 파일 단위로 접근하는 스토리지	사무실 공유 스토리지(시놀로지) — 여러 PC가 네트워크로 파일 공유.	3-13 물리 데이터베이스 설계 (3과목)	유형_약어 과목3
SAN	Storage Area Network	광채널 등 전용 네트워크로 블록 단위 접근을 제공하는 스토리지	금융 데이터센터에서 광채널로 스토리지를 블록 단위로 붙인다.	3-13 물리 데이터베이스 설계 (3과목)	유형_약어 과목3
RAID	Redundant Array of Independent Disks	여러 디스크를 묶어 성능이나 안정성을 높이는 기술	RAID 1 로 디스크를 미러링해 한쪽이 죽어도 서비스가 계속된다.	3-13 물리 데이터베이스 설계 (3과목)	유형_약어 과목3
DAC	Discretionary Access Control	데이터 소유자가 접근 권한을 임의로 부여하는 임의 접근 통제	내가 만든 테이블에 대해 내가 GRANT 로 권한을 나눠 준다.	3-14 분산 데이터베이스 · 보안 (3과목)	유형_약어 과목3
MAC	Mandatory Access Control	시스템이 정한 보안 등급에 따라 강제로 접근을 통제하는 방식	군 시스템에서 「대외비」 등급 문서는 그 등급 이상만 볼 수 있다.	3-14 분산 데이터베이스 · 보안 (3과목)	유형_약어 과목3
RBAC	Role Based Access Control	사용자에게 부여된 역할에 따라 접근 권한을 부여하는 방식	「팀장」 역할에 권한을 묶고 사람에게 역할만 부여한다.	3-14 분산 데이터베이스 · 보안 (3과목)	유형_약어 과목3
ETL	Extraction, Transformation, Loading	원천 시스템에서 데이터를 추출·변환해 목표 시스템에 적재하는 기술	여러 시스템의 매출을 뽑아 형식을 통일하고 데이터 웨어하우스에 넣는다.	3-15 데이터 전환 · 품질 (3과목)	유형_약어 과목3
Spring	Spring Framework	자바 플랫폼을 위한 오픈소스 경량 애플리케이션 프레임워크	국내 공공·금융 서버 개발의 사실상 표준 — 전자정부 표준프레임워크의 기반.	4-1 개발 환경 · 프레임워크 · 배치 (4과목)	유형_약어 과목4
Cron	Cron Expression	시간 기반 작업 스케줄을 표현하는 표기법	0 6 * * * 는 매일 오전 6시, 0 0 1 * * 는 매월 1일 자정.	4-1 개발 환경 · 프레임워크 · 배치 (4과목)	유형_약어 과목4
API	Application Programming Interface	응용 프로그램이 다른 프로그램의 기능을 사용할 수 있도록 제공하는 인터페이스	카카오 로그인 API 를 호출해 우리 서비스에 소셜 로그인을 붙인다.	4-2 재사용 · API · 보안 취약성 (4과목)	유형_약어 과목4
OpenAPI	Open Application Programming Interface	외부 개발자에게 공개된 API	공공데이터포털의 기상청 날씨 API — 누구나 키만 받으면 쓴다.	4-2 재사용 · API · 보안 취약성 (4과목)	유형_약어 과목4
CSRF	Cross Site Request Forgery	사용자가 자신의 의지와 무관하게 공격자가 의도한 요청을 서버에 보내게 하는 공격	로그인된 상태에서 악성 사이트를 열면 내 이름으로 송금 요청이 나간다.	4-2 재사용 · API · 보안 취약성 (4과목)	유형_약어 과목4
PCB	Process Control Block	운영체제가 프로세스를 관리하기 위해 유지하는 정보 블록	OS가 프로세스마다 상태·PID·우선순위·프로그램 카운터를 적어 둔 표.	4-7 프로세스 · 스레드 · 상태 전이 (4과목)	유형_약어 과목4
FCFS	First Come First Served	준비 큐에 도착한 순서대로 프로세서를 할당하는 비선점형 기법	은행 번호표 — 온 순서대로.	4-8 프로세스 스케줄링 (4과목)	유형_약어 과목4
SJF	Shortest Job First	실행 시간이 가장 짧은 프로세스에 먼저 프로세서를 할당하는 비선점형 기법	짧은 일을 먼저 처리해 평균 대기 시간을 최소로 만든다.	4-8 프로세스 스케줄링 (4과목)	유형_약어 과목4
HRN	Highest Response Ratio Next	대기 시간과 서비스 시간을 이용해 우선순위를 계산하는 비선점형 기법	대기 10 · 서비스 5 면 (10+5)/5 = 3.0 — 값이 클수록 먼저.	4-8 프로세스 스케줄링 (4과목)	유형_약어 과목4
SRT	Shortest Remaining Time	남은 실행 시간이 가장 짧은 프로세스를 먼저 처리하는 선점형 기법	남은 시간이 더 짧은 작업이 오면 실행 중인 것을 밀어낸다.	4-8 프로세스 스케줄링 (4과목)	유형_약어 과목4
LRU	Least Recently Used	가장 오래 사용되지 않은 페이지를 교체하는 알고리즘	가장 오랫동안 안 쓴 페이지를 내보낸다 — 실무 캐시의 기본.	4-9 기억장치 관리 · 가상기억장치 (4과목)	유형_약어 과목4
LFU	Least Frequently Used	사용 빈도가 가장 적은 페이지를 교체하는 알고리즘	참조 횟수가 가장 적은 페이지를 내보낸다.	4-9 기억장치 관리 · 가상기억장치 (4과목)	유형_약어 과목4
NUR	Not Used Recently	최근에 사용하지 않은 페이지를 참조 비트와 변형 비트로 판단해 교체하는 알고리즘	참조 비트와 변형 비트 두 개만으로 LRU 를 흉내낸다.	4-9 기억장치 관리 · 가상기억장치 (4과목)	유형_약어 과목4
SSTF	Shortest Seek Time First	현재 헤드 위치에서 가장 가까운 트랙 요청을 먼저 처리하는 디스크 스케줄링	현재 위치에서 가장 가까운 트랙을 먼저 처리한다.	4-10 교착 상태 · 디스크 · 파일 (4과목)	유형_약어 과목4
C-SCAN	Circular SCAN	한 방향으로만 요청을 처리하고 끝에 도달하면 처음으로 되돌아가는 디스크 스케줄링	한 방향만 처리하고 끝에 닿으면 처음으로 되돌아온다.	4-10 교착 상태 · 디스크 · 파일 (4과목)	유형_약어 과목4
i-node	index node	UNIX에서 파일의 소유자·권한·크기·데이터 블록 위치 등 메타 정보를 저장하는 구조	ls -i 로 보이는 번호 — 소유자·권한·크기·블록 위치가 여기 있다.	4-10 교착 상태 · 디스크 · 파일 (4과목)	유형_약어 과목4
TCP/IP	Transmission Control Protocol / Internet Protocol	인터넷의 표준 프로토콜 스택으로 4계층 구조를 갖는다	인터넷이 실제로 굴러가는 4계층 프로토콜 묶음.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
TCP	Transmission Control Protocol	신뢰성 있는 연결형 전송을 제공하는 전송 계층 프로토콜	파일 다운로드처럼 한 바이트도 빠지면 안 되는 통신.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
UDP	User Datagram Protocol	비연결형으로 신뢰성보다 속도를 우선하는 전송 계층 프로토콜	유튜브 실시간 스트리밍, DNS 조회, 온라인 게임.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
IP	Internet Protocol	비신뢰성·비연결형 데이터그램 전송을 담당하는 인터넷 계층 프로토콜	패킷을 목적지까지 「던지기만」 하고 도착 보장은 안 한다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
ICMP	Internet Control Message Protocol	IP의 동작 중 전송 오류가 발생할 때 오류 정보를 전송하고 경로 변경 등 제어 메시지를 관리하는 프로토콜	ping 이 응답을 받는 것도, traceroute 가 경로를 그리는 것도 ICMP다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
IGMP	Internet Group Management Protocol	멀티캐스트 그룹의 가입과 탈퇴를 관리하는 인터넷 계층 프로토콜	IPTV 채널을 바꿀 때 멀티캐스트 그룹에 가입·탈퇴한다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
ARP	Address Resolution Protocol	논리 주소(IP)를 물리 주소(MAC)로 변환하는 프로토콜	같은 공유기 안에서 192.168.0.5 의 MAC 주소를 찾는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
RARP	Reverse Address Resolution Protocol	물리 주소(MAC)를 논리 주소(IP)로 변환하는 프로토콜	디스크 없는 단말이 자기 MAC 만 알고 IP 를 물어보던 방식.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
HTTP	HyperText Transfer Protocol	웹에서 하이퍼텍스트 문서를 전송하는 응용 계층 프로토콜	브라우저 주소창에 입력하는 그 프로토콜 — 포트 80.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
FTP	File Transfer Protocol	파일을 전송하기 위한 응용 계층 프로토콜	FileZilla 로 서버에 파일을 올린다 — 제어 21, 데이터 20.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
SMTP	Simple Mail Transfer Protocol	전자우편을 송신하는 응용 계층 프로토콜	메일을 「보낼」 때 쓰는 프로토콜 — 포트 25.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
POP3	Post Office Protocol version 3	메일 서버에서 전자우편을 수신·다운로드하는 프로토콜	메일을 PC로 내려받고 서버에서 지운다 — 포트 110.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
DNS	Domain Name System	도메인 이름을 IP 주소로 변환하는 시스템	www.naver.com 을 IP 주소로 바꿔 준다 — 포트 53.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
SNMP	Simple Network Management Protocol	네트워크 장비를 원격으로 감시·관리하는 응용 계층 프로토콜	Zabbix 가 스위치 트래픽을 SNMP 로 긁어 그래프로 보여 준다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
DHCP	Dynamic Host Configuration Protocol	호스트에 IP 주소 등 네트워크 설정을 자동으로 할당하는 프로토콜	카페 와이파이에 붙으면 IP가 자동으로 할당된다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
HTTPS	HyperText Transfer Protocol Secure	HTTP에 SSL/TLS 암호화를 적용한 프로토콜	주소창 자물쇠 — HTTP에 TLS를 씌운 것, 포트 443.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
IMAP	Internet Message Access Protocol	메일을 서버에 두고 관리하며 열람하는 수신 프로토콜	여러 기기에서 같은 메일함을 동기화해 본다 — 포트 143.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
SSH	Secure Shell	암호화된 통신으로 원격 접속하는 프로토콜	ssh user@server 로 안전하게 원격 접속한다 — 포트 22.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
TFTP	Trivial File Transfer Protocol	UDP 기반의 간단한 파일 전송 프로토콜	네트워크 부팅에서 UDP로 작은 이미지 파일을 받아 온다 — 포트 69.	4-13 TCP/IP · 프로토콜 (4과목)	유형_약어 과목4
IPv4	Internet Protocol version 4	32비트 주소 체계를 사용하는 인터넷 프로토콜 버전	192.168.0.1 — 8비트씩 네 덩어리, 점으로 구분.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
IPv6	Internet Protocol version 6	128비트 주소 체계를 사용하는 차세대 인터넷 프로토콜	2001:0db8::1 — 16비트씩 여덟 덩어리, 콜론으로 구분.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
CIDR	Classless Inter-Domain Routing	클래스 구분 없이 프리픽스 길이로 네트워크를 표기하는 방식	10.0.0.0/8 처럼 클래스 없이 프리픽스 길이로 표기한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
NAT	Network Address Translation	사설 IP 주소를 공인 IP 주소로 변환하는 기술	집 공유기가 내부 192.168.x.x 를 공인 IP 하나로 바꿔 준다.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
RIP	Routing Information Protocol	거리 벡터 알고리즘을 사용하는 내부 라우팅 프로토콜	소규모 사무실 망 — 홉 수가 15를 넘으면 못 간다.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
OSPF	Open Shortest Path First	링크 상태 알고리즘을 사용하는 내부 라우팅 프로토콜	대학 캠퍼스망처럼 큰 조직 내부에서 최단 경로를 계산한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
BGP	Border Gateway Protocol	자율 시스템(AS) 간 경로를 교환하는 외부 라우팅 프로토콜	KT와 SKT 같은 통신사(AS) 사이의 경로를 교환한다 — 인터넷 백본.	4-14 IP 주소 · 라우팅 (4과목)	유형_약어 과목4
LAN	Local Area Network	비교적 좁은 지역 내의 장치들을 연결한 근거리 통신망	사무실 한 층을 스위치로 묶은 망.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_약어 과목4
CSMA/CD	Carrier Sense Multiple Access with Collision Detection	전송 전 회선을 감지하고 충돌이 발생하면 감지해 재전송하는 유선 매체 접근 제어 방식	유선 이더넷에서 신호를 보내다 충돌을 감지하면 잠깐 쉬고 다시 보낸다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_약어 과목4
CSMA/CA	Carrier Sense Multiple Access with Collision Avoidance	충돌을 미리 회피하는 무선 매체 접근 제어 방식	와이파이에서는 충돌을 볼 수 없어 미리 피한다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_약어 과목4
WAN	Wide Area Network	국가나 대륙 단위의 넓은 지역을 연결하는 광역 통신망	서울 본사와 부산 지사를 전용선으로 잇는다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_약어 과목4
MAN	Metropolitan Area Network	도시 규모의 지역을 연결하는 통신망	도시 규모 — LAN과 WAN 사이.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_약어 과목4
LOC	Lines Of Code	원시 코드 라인 수를 낙관치·중간치·비관치로 추정해 비용을 산정하는 상향식 기법	낙관 2만 · 중간 2.6만 · 비관 3만 → (2만+10.4만+3만)/6 = 약 25,666 라인.	5-3 비용 산정 · 일정 관리 (5과목)	유형_약어 과목5
COCOMO	Constructive Cost Model	보흠이 제안한, 원시 코드 라인 수(LOC)를 기반으로 노력을 산정하는 모형	예상 라인 수를 넣으면 필요한 인월(Man-Month)이 나온다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_약어 과목5
Putnam	Putnam Model	생명주기 전체에 필요한 노력의 분포를 Rayleigh-Norden 곡선으로 가정한 비용 산정 모형	프로젝트 기간에 따라 투입 인력이 종 모양으로 오르내린다고 가정한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_약어 과목5
