#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
MOM vs TP-Monitor	MOM	메시지 기반의 비동기형 메시지 전달을 지원하는 미들웨어	송신자와 수신자가 동시에 살아 있지 않아도 되는 느슨한 결합을 제공한다. 즉시 응답이 필요 없는 일괄 작업, 대량 데이터 처리에 적합하다.	주문이 들어오면 Kafka에 메시지를 쌓아 두고 정산 서버가 나중에 꺼내 처리한다.	TP-Monitor	항공 예약처럼 트랜잭션을 처리·감시하는 미들웨어	사용자 수가 증가해도 빠른 응답을 유지해야 하는 업무에 사용한다. 트랜잭션이라는 단어가 나오면 TP-Monitor다.	항공권 예약처럼 초당 수천 건이 몰려도 순서와 정합성을 지켜야 하는 시스템의 심장.	비동기 메시지 = MOM 이라는 대응을 묻는다. | 미들웨어 5종 중 트랜잭션 담당을 고르게 한다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
MOM vs Message Bus	MOM	메시지 기반의 비동기형 메시지 전달을 지원하는 미들웨어	송신자와 수신자가 동시에 살아 있지 않아도 되는 느슨한 결합을 제공한다. 즉시 응답이 필요 없는 일괄 작업, 대량 데이터 처리에 적합하다.	주문이 들어오면 Kafka에 메시지를 쌓아 두고 정산 서버가 나중에 꺼내 처리한다.	Message Bus	애플리케이션 사이에 미들웨어 버스를 두어 처리하는 EAI 구축 유형	대용량 처리가 가능하고 성능·확장성이 뛰어나다. ESB 방식이라고도 한다.	Kafka 를 버스로 놓고 모든 시스템이 붙어 대용량 이벤트를 흘려보낸다.	비동기 메시지 = MOM 이라는 대응을 묻는다. | Message Bus = ESB 라는 등가 관계를 묻는다.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
CORBA vs ORB	CORBA	OMG가 정의한 분산 객체 통신 표준 규격	이 규격을 구현한 미들웨어가 ORB다. 언어와 플랫폼에 독립적이다.	1990년대 분산 객체 표준 — 이를 구현한 미들웨어가 ORB다.	ORB	코바(CORBA) 표준 스펙을 구현한 객체 요청 브로커 미들웨어	객체 지향 미들웨어로 분산 객체 간 메시지를 중계한다. 최근에는 TP-Monitor의 기능을 흡수한 제품도 있다.	옛 금융권 분산 시스템에서 CORBA로 객체를 주고받던 미들웨어.	ORB와 CORBA의 관계를 묻는다. | 객체 지향 미들웨어를 고르게 한다.	1-10 인터페이스 설계 · 연계 기술 (1과목)	유형_혼동짝 과목1
DBMS 분석 vs 비즈니스 융합	DBMS 분석	현행 DBMS의 가용성·성능·상호 호환성·기술 지원·구축 비용을 검토하는 활동	분석 항목 다섯 가지를 묻는다. 여기서 상호 호환성은 운영체제·응용 프로그램과의 연계 가능성을 뜻한다.	오라클에서 PostgreSQL로 갈지 정할 때 성능·호환성·기술지원·비용을 표로 비교한다.	비즈니스 융합	서로 다른 산업·기술을 결합해 새로운 가치를 만드는 활동	현행 시스템 분석 단계에서 융합 대상 업무와 기술을 식별한다. 핀테크, 스마트팩토리 등이 예시로 나온다.	편의점 결제에 금융을 붙인 간편결제, 공장에 IoT를 붙인 스마트팩토리.	분석 고려사항 5종 나열형. | 현행 시스템 분석의 구성 요소 나열형.	1-1 현행 시스템 분석 · 플랫폼 (1과목)	유형_혼동짝 과목1
기능 요구사항 vs 비기능 요구사항	기능 요구사항	시스템이 무엇을 해야 하는지에 관한 요구사항	입력·출력, 저장할 데이터, 수행할 연산처럼 동작 자체를 규정한다. 반드시 검증 가능해야 한다.	「회원은 주문 내역을 최근 3개월까지 조회할 수 있다」처럼 동작을 규정한다.	비기능 요구사항	시스템이 어떻게 동작해야 하는지, 즉 품질·제약에 관한 요구사항	성능, 보안, 가용성, 신뢰성, 사용성, 이식성, 인터페이스, 장비 구성처럼 품질 특성과 제약사항이 여기 속한다.	「주문 조회는 2초 이내」, 「비밀번호는 암호화 저장」처럼 품질과 제약을 규정한다.	기능/비기능 예시를 섞어 분류하게 한다. | 성능·보안이 비기능이라는 점을 묻는다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
요구사항 도출 vs 요구사항 분석	요구사항 도출	이해관계자로부터 요구사항을 수집하는 단계	기법은 인터뷰, 설문, 브레인스토밍, 워크숍, 프로토타이핑, 유스케이스, 문서 분석, 관찰이다. 이해관계자를 식별하는 것이 시작이다.	현업 담당자 인터뷰와 기존 화면 관찰로 「엑셀로 하던 정산을 자동화하고 싶다」를 캐낸다.	요구사항 분석	도출된 요구사항의 모순·중복·누락을 찾아 조정하고 우선순위를 정하는 단계	분석 도구로 자료 흐름도(DFD), 자료 사전(DD), 소단위 명세서, 개체 관계도, 상태 전이도를 쓴다.	「빠르게」라는 요구를 「3초 이내」로 바꾸고 서로 충돌하는 요구의 우선순위를 정한다.	도출 기법 나열형. | 분석 단계에서 쓰는 도구를 묻는다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
요구사항 도출 vs 프로토타이핑	요구사항 도출	이해관계자로부터 요구사항을 수집하는 단계	기법은 인터뷰, 설문, 브레인스토밍, 워크숍, 프로토타이핑, 유스케이스, 문서 분석, 관찰이다. 이해관계자를 식별하는 것이 시작이다.	현업 담당자 인터뷰와 기존 화면 관찰로 「엑셀로 하던 정산을 자동화하고 싶다」를 캐낸다.	프로토타이핑	견본품을 미리 만들어 요구사항을 확인하는 기법	사용자의 눈에 보이는 결과가 있어 요구사항 오류를 조기에 발견한다. 단점은 프로토타입에 대한 과도한 기대와 폐기 비용이다.	화면 시제품을 먼저 보여 주니 「목록보다 카드형이 낫다」는 말이 그 자리에서 나온다.	도출 기법 나열형. | 도출 기법이자 확인 기법으로 양쪽에 등장한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
브레인스토밍 vs 요구사항 도출	브레인스토밍	여러 사람이 자유롭게 아이디어를 내며 요구사항을 도출하는 기법	비판을 금지하고 양을 우선한다. 델파이 기법은 전문가에게 익명으로 반복 설문하는 방식이라 다르다.	기획 회의에서 30분 동안 비판 없이 아이디어만 쏟아내고 나중에 추린다.	요구사항 도출	이해관계자로부터 요구사항을 수집하는 단계	기법은 인터뷰, 설문, 브레인스토밍, 워크숍, 프로토타이핑, 유스케이스, 문서 분석, 관찰이다. 이해관계자를 식별하는 것이 시작이다.	현업 담당자 인터뷰와 기존 화면 관찰로 「엑셀로 하던 정산을 자동화하고 싶다」를 캐낸다.	기법 이름과 절차를 바꿔 낸다. | 도출 기법 나열형.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
비정형 명세 기법 vs 정형 명세 기법	비정형 명세 기법	자연어 기반으로 서술해 이해관계자가 쉽게 이해하도록 하는 방법	FSM, Decision Table, ER 모델링, State Chart, 자연어 서술이 여기 속한다. 사용자 관점에서 이해가 쉬우나 일관성 확보가 어렵다.	대부분의 SI 프로젝트에서 자연어 요구사항 정의서와 상태 표로 기술한다.	정형 명세 기법	수학적 원리·모델에 기반해 요구사항을 기술하는 방법	Z, VDM, Petri-net, CSP가 대표적이다. 명확하고 검증이 가능하나 이해하기 어렵고 작성 비용이 높다.	철도 신호 제어처럼 오류가 곧 사고인 시스템에서 Z 표기법으로 논리를 증명한다.	정형과의 구별. | 기법 이름과 성격을 바꿔 낸다. Z와 VDM은 정형이다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
델파이 기법 vs 브레인스토밍	델파이 기법	전문가들에게 익명으로 반복 설문해 의견을 수렴하는 기법	비용 산정에서는 전문가 감정 기법의 편향을 보완하는 방법으로도 나온다. 익명성과 반복이 핵심 특징이다.	세 명의 시니어에게 각각 익명으로 공수를 물어보고 결과를 돌려 다시 묻는다.	브레인스토밍	여러 사람이 자유롭게 아이디어를 내며 요구사항을 도출하는 기법	비판을 금지하고 양을 우선한다. 델파이 기법은 전문가에게 익명으로 반복 설문하는 방식이라 다르다.	기획 회의에서 30분 동안 비판 없이 아이디어만 쏟아내고 나중에 추린다.	비용 산정 기법 문제에도 등장한다. | 기법 이름과 절차를 바꿔 낸다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
델파이 기법 vs 전문가 감정 기법	델파이 기법	전문가들에게 익명으로 반복 설문해 의견을 수렴하는 기법	비용 산정에서는 전문가 감정 기법의 편향을 보완하는 방법으로도 나온다. 익명성과 반복이 핵심 특징이다.	세 명의 시니어에게 각각 익명으로 공수를 물어보고 결과를 돌려 다시 묻는다.	전문가 감정 기법	조직 내 경험 많은 전문가에게 비용 산정을 의뢰하는 하향식 기법	신뢰도가 높으나 개인적·주관적 편향이 있을 수 있다. 델파이 기법으로 보완한다.	10년차 PM 세 명에게 「이 정도면 6개월」이라는 감을 받는다.	비용 산정 기법 문제에도 등장한다. | 하향식 기법 분류.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_혼동짝 과목1
UML vs 스테레오타입	UML	객체지향 시스템 설계를 시각적으로 표현하는 표준 모델링 언어	구성 요소는 사물(Things), 관계(Relationships), 다이어그램(Diagrams) 세 가지다. OMG에서 표준화했다.	설계 문서에 클래스도와 시퀀스도를 그려 신규 입사자가 구조를 파악하게 한다.	스테레오타입	UML에서 기본 요소 외의 새로운 요소를 표현하기 위해 겹화살괄호로 표기하는 확장 표기	>, >, >, > 처럼 쓴다. 길러멧(Guillemet) 기호라고도 한다.	> PaymentGateway 처럼 겹화살괄호로 요소의 성격을 덧붙인다.	구성 요소 3가지를 묻거나, 구성 요소가 아닌 것을 고르게 한다. | 겹화살괄호 기호의 이름을 묻는다.	1-3 UML (1과목)	유형_혼동짝 과목1
연관 관계 vs 집합 관계	연관 관계	두 사물이 서로를 참조하며 개념적으로 연결된 관계	실선으로 표현하고 방향을 화살표로 표시한다. 다중도(Multiplicity)를 선 위에 적는다.	주문 클래스가 회원 클래스를 필드로 들고 있는 관계 — 실선으로 잇는다.	집합 관계	한 사물이 다른 사물에 포함되는 관계로, 포함되는 쪽이 독립적으로 존재할 수 있는 관계	속이 빈 마름모로 표현한다. 포함 관계(Composition)는 속이 찬 마름모이며 생명주기를 공유한다.	팀과 팀원 — 팀이 해체돼도 사람은 남는다. 빈 마름모.	관계 6종의 기호와 이름을 바꿔 낸다. | 빈 마름모와 찬 마름모를 바꿔 낸다.	1-3 UML (1과목)	유형_혼동짝 과목1
연관 관계 vs 의존 관계	연관 관계	두 사물이 서로를 참조하며 개념적으로 연결된 관계	실선으로 표현하고 방향을 화살표로 표시한다. 다중도(Multiplicity)를 선 위에 적는다.	주문 클래스가 회원 클래스를 필드로 들고 있는 관계 — 실선으로 잇는다.	의존 관계	한 사물이 다른 사물을 일시적으로 사용하는 관계	점선 화살표로 표현한다. 연관 관계와 달리 관계가 짧은 시간만 유지된다.	메서드 안에서 잠깐 Logger를 만들어 쓰고 버리는 관계 — 점선.	관계 6종의 기호와 이름을 바꿔 낸다. | 실선(연관)과 점선(의존)의 구별.	1-3 UML (1과목)	유형_혼동짝 과목1
집합 관계 vs 포함 관계	집합 관계	한 사물이 다른 사물에 포함되는 관계로, 포함되는 쪽이 독립적으로 존재할 수 있는 관계	속이 빈 마름모로 표현한다. 포함 관계(Composition)는 속이 찬 마름모이며 생명주기를 공유한다.	팀과 팀원 — 팀이 해체돼도 사람은 남는다. 빈 마름모.	포함 관계	포함되는 사물이 포함하는 사물의 생명주기에 종속되는 강한 소유 관계	속이 채워진 마름모로 표현한다. 전체가 사라지면 부분도 사라진다.	주문과 주문상세 — 주문을 지우면 주문상세도 의미가 없다. 찬 마름모.	빈 마름모와 찬 마름모를 바꿔 낸다. | 집합 관계와의 강도 차이를 묻는다.	1-3 UML (1과목)	유형_혼동짝 과목1
실체화 관계 vs 일반화 관계	실체화 관계	인터페이스에 정의된 기능을 클래스가 구현하는 관계	점선에 속이 빈 삼각형 화살표로 표현한다. 사물이 할 수 있는 기능(인터페이스)으로 서로를 그룹화한다.	PaymentGateway 인터페이스를 KakaoPay 클래스가 구현하는 관계.	일반화 관계	한 사물이 다른 사물을 좀 더 포괄하는 상위 개념인 관계	속이 빈 삼각형 화살표를 상위 개념 쪽에 붙인다. 상속 관계에 해당한다.	결제수단을 부모로 두고 카드결제·계좌이체를 자식으로 두는 상속 구조.	일반화와 기호가 비슷해 헷갈린다. 점선 여부로 구별. | 빈 삼각형(일반화)과 점선 삼각형(실체화)을 구별한다.	1-3 UML (1과목)	유형_혼동짝 과목1
실체화 관계 vs 의존 관계	실체화 관계	인터페이스에 정의된 기능을 클래스가 구현하는 관계	점선에 속이 빈 삼각형 화살표로 표현한다. 사물이 할 수 있는 기능(인터페이스)으로 서로를 그룹화한다.	PaymentGateway 인터페이스를 KakaoPay 클래스가 구현하는 관계.	의존 관계	한 사물이 다른 사물을 일시적으로 사용하는 관계	점선 화살표로 표현한다. 연관 관계와 달리 관계가 짧은 시간만 유지된다.	메서드 안에서 잠깐 Logger를 만들어 쓰고 버리는 관계 — 점선.	일반화와 기호가 비슷해 헷갈린다. 점선 여부로 구별. | 실선(연관)과 점선(의존)의 구별.	1-3 UML (1과목)	유형_혼동짝 과목1
시퀀스 다이어그램 vs 유스케이스 다이어그램	시퀀스 다이어그램	객체 간 메시지를 시간 순서에 따라 표현하는 행위 다이어그램	구성 요소는 액터, 객체, 생명선(Lifeline), 실행 상자(Activation Box), 메시지다. 시간 흐름은 위에서 아래로 흐른다.	「사용자 → 컨트롤러 → 서비스 → DB」로 로그인 한 번의 호출 순서를 위에서 아래로 그린다.	유스케이스 다이어그램	사용자 관점에서 시스템의 기능과 사용자를 표현하는 구조적 다이어그램	구성 요소는 시스템 범위, 액터, 유스케이스, 관계다. 액터는 사람뿐 아니라 외부 시스템일 수도 있다.	「회원 — 주문하기 — 결제 게이트웨이」로 시스템이 누구에게 무엇을 해 주는지 한 장에 담는다.	동적(행위) 다이어그램 분류와 구성 요소를 묻는다. | 정적(구조) 다이어그램 분류에 속한다는 점이 자주 나온다.	1-3 UML (1과목)	유형_혼동짝 과목1
액터 vs 유스케이스 다이어그램	액터	유스케이스 다이어그램에서 시스템과 상호작용하는 모든 외부 요소	사람뿐 아니라 외부 시스템·장치도 액터가 될 수 있다. 주 액터(사용자)와 부 액터(외부 시스템)로 나눈다.	주문 유스케이스의 액터는 「회원」뿐 아니라 외부 「PG사 시스템」도 된다.	유스케이스 다이어그램	사용자 관점에서 시스템의 기능과 사용자를 표현하는 구조적 다이어그램	구성 요소는 시스템 범위, 액터, 유스케이스, 관계다. 액터는 사람뿐 아니라 외부 시스템일 수도 있다.	「회원 — 주문하기 — 결제 게이트웨이」로 시스템이 누구에게 무엇을 해 주는지 한 장에 담는다.	액터가 사람만이라는 문장이 오답이다. | 정적(구조) 다이어그램 분류에 속한다는 점이 자주 나온다.	1-3 UML (1과목)	유형_혼동짝 과목1
객체 다이어그램 vs 클래스 다이어그램	객체 다이어그램	클래스에 속한 객체의 인스턴스를 특정 시점의 상태로 표현한 구조적 다이어그램	클래스 다이어그램의 인스턴스 스냅샷이다. 럼바우 방법의 객체 모델링에서 사용한다.	「order#1001: Order (amount=52000)」처럼 특정 순간의 실제 값을 찍어 그린다.	클래스 다이어그램	클래스, 속성, 연산과 클래스 간 관계를 표현하는 구조적 다이어그램	클래스는 이름·속성·연산 3칸으로 그린다. 접근 제어자는 + public, - private, # protected, ~ package로 표기한다.	Order 클래스에 orderId·amount 속성과 cancel() 연산을 3칸 박스로 그린다.	구조 다이어그램 6종 나열형. | 접근 제어자 기호를 묻는다.	1-3 UML (1과목)	유형_혼동짝 과목1
시퀀스 다이어그램 vs 커뮤니케이션 다이어그램	시퀀스 다이어그램	객체 간 메시지를 시간 순서에 따라 표현하는 행위 다이어그램	구성 요소는 액터, 객체, 생명선(Lifeline), 실행 상자(Activation Box), 메시지다. 시간 흐름은 위에서 아래로 흐른다.	「사용자 → 컨트롤러 → 서비스 → DB」로 로그인 한 번의 호출 순서를 위에서 아래로 그린다.	커뮤니케이션 다이어그램	메시지 전달과 함께 객체 간 연관 관계까지 표현하는 행위 다이어그램	시퀀스 다이어그램과 내용은 같으나 시간 축 대신 객체 간 링크 구조를 강조한다.	같은 로그인 흐름을 시간축 없이 객체 간 연결선 중심으로 그린다.	동적(행위) 다이어그램 분류와 구성 요소를 묻는다. | 둘의 차이(시간 축 vs 연관 관계)를 묻는다.	1-3 UML (1과목)	유형_혼동짝 과목1
생명선 vs 시퀀스 다이어그램	생명선	시퀀스 다이어그램에서 객체가 존재하는 기간을 나타내는 점선	점선 위의 사각형(실행 상자)이 실제로 활동 중인 구간이다.	시퀀스도에서 Order 객체 아래로 뻗은 점선이 그 객체가 살아 있는 구간이다.	시퀀스 다이어그램	객체 간 메시지를 시간 순서에 따라 표현하는 행위 다이어그램	구성 요소는 액터, 객체, 생명선(Lifeline), 실행 상자(Activation Box), 메시지다. 시간 흐름은 위에서 아래로 흐른다.	「사용자 → 컨트롤러 → 서비스 → DB」로 로그인 한 번의 호출 순서를 위에서 아래로 그린다.	시퀀스 다이어그램 구성 요소 나열형. | 동적(행위) 다이어그램 분류와 구성 요소를 묻는다.	1-3 UML (1과목)	유형_혼동짝 과목1
상태 다이어그램 vs 활동 다이어그램	상태 다이어그램	객체가 사건에 따라 어떤 상태로 변하는지 표현하는 행위 다이어그램	상태 전이도라고도 한다. 실시간 시스템이나 라이프사이클이 복잡한 객체 분석에 쓴다.	주문이 「접수 → 결제완료 → 배송중 → 완료/취소」로 옮겨 다니는 그림.	활동 다이어그램	처리 흐름을 순서에 따라 표현해 어떤 기능이 어떻게 수행되는지 보여 주는 행위 다이어그램	분기(Decision), 병합(Merge), 포크(Fork), 조인(Join)을 사용한다. 순서도와 유사하다.	「재고 확인 → 있으면 결제, 없으면 품절 안내」처럼 처리 흐름을 순서도처럼 그린다.	행위 다이어그램 분류. | 활동과 상태 다이어그램을 바꿔 낸다.	1-3 UML (1과목)	유형_혼동짝 과목1
자료 흐름도 vs 활동 다이어그램	자료 흐름도	자료가 시스템 내부를 흐르며 어떻게 변환되는지 그림으로 표현한 모델	구성 요소는 프로세스(원), 자료 흐름(화살표), 자료 저장소(평행선), 단말(사각형)이다. 버블 차트라고도 한다.	「주문서 → (주문처리) → 주문DB」처럼 자료가 어디서 어떻게 변하는지 그린다.	활동 다이어그램	처리 흐름을 순서에 따라 표현해 어떤 기능이 어떻게 수행되는지 보여 주는 행위 다이어그램	분기(Decision), 병합(Merge), 포크(Fork), 조인(Join)을 사용한다. 순서도와 유사하다.	「재고 확인 → 있으면 결제, 없으면 품절 안내」처럼 처리 흐름을 순서도처럼 그린다.	네 가지 구성 요소와 기호를 바꿔 낸다. 프로세스는 원이다. | 활동과 상태 다이어그램을 바꿔 낸다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_혼동짝 과목1
컴포넌트 다이어그램 vs 패키지 다이어그램	컴포넌트 다이어그램	실제 구현 모듈인 컴포넌트 간의 구성과 의존 관계를 표현한 구조적 다이어그램	구현 단계에서 사용한다. 물리적 배치는 배치 다이어그램이다.	결제 모듈 jar 가 인증 모듈 jar 에 의존하는 구조를 그린다.	패키지 다이어그램	유스케이스·클래스 등의 모델 요소를 그룹화한 패키지 간 의존 관계를 표현	구조적 다이어그램에 속한다. 시스템의 논리적 구조 단위를 보여 준다.	com.shop.order 와 com.shop.pay 패키지가 서로 어떻게 의존하는지 그린다.	구조 다이어그램 6종 나열형. | 구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_혼동짝 과목1
