#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
비정형 명세 기법	Informal Specification	자연어 기반으로 서술해 이해관계자가 쉽게 이해하도록 하는 방법	FSM, Decision Table, ER 모델링, State Chart, 자연어 서술이 여기 속한다. 사용자 관점에서 이해가 쉬우나 일관성 확보가 어렵다.	대부분의 SI 프로젝트에서 자연어 요구사항 정의서와 상태 표로 기술한다.	말로 쓰면 비정형. 읽기 쉽지만 애매해진다.	정형 명세 기법	정형과의 구별.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
요구사항 확인	Validation	명세된 요구사항이 이해관계자의 의도와 맞는지 검토하는 단계	기법은 요구사항 검토(리뷰), 프로토타이핑, 모델 검증, 인수 테스트다. 형상 관리를 통해 변경 이력을 관리한다.	요구사항 정의서를 현업과 함께 읽고 「이거 맞습니까」를 도장 찍어 확인한다.	Validation = 「우리가 원한 게 이거였나」 확인.	요구사항 명세 / 인수 테스트 / 형상 관리	확인 활동에 속하지 않는 것을 고르게 한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
프로토타이핑	Prototyping	견본품을 미리 만들어 요구사항을 확인하는 기법	사용자의 눈에 보이는 결과가 있어 요구사항 오류를 조기에 발견한다. 단점은 프로토타입에 대한 과도한 기대와 폐기 비용이다.	화면 시제품을 먼저 보여 주니 「목록보다 카드형이 낫다」는 말이 그 자리에서 나온다.	눈에 보이면 말이 나온다.	프로토타입 모형 / 요구사항 도출	도출 기법이자 확인 기법으로 양쪽에 등장한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
브레인스토밍	Brainstorming	여러 사람이 자유롭게 아이디어를 내며 요구사항을 도출하는 기법	비판을 금지하고 양을 우선한다. 델파이 기법은 전문가에게 익명으로 반복 설문하는 방식이라 다르다.	기획 회의에서 30분 동안 비판 없이 아이디어만 쏟아내고 나중에 추린다.	비판 금지 + 양 우선.	델파이 기법 / 요구사항 도출	기법 이름과 절차를 바꿔 낸다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
델파이 기법	Delphi Technique	전문가들에게 익명으로 반복 설문해 의견을 수렴하는 기법	비용 산정에서는 전문가 감정 기법의 편향을 보완하는 방법으로도 나온다. 익명성과 반복이 핵심 특징이다.	세 명의 시니어에게 각각 익명으로 공수를 물어보고 결과를 돌려 다시 묻는다.	익명 + 반복. 목소리 큰 사람 영향을 없앤다.	전문가 감정 기법 / 브레인스토밍	비용 산정 기법 문제에도 등장한다.	1-2 요구공학 · 요구사항 분석 (1과목)	유형_용어 과목1 챕터_1_2
UML	Unified Modeling Language	객체지향 시스템 설계를 시각적으로 표현하는 표준 모델링 언어	구성 요소는 사물(Things), 관계(Relationships), 다이어그램(Diagrams) 세 가지다. OMG에서 표준화했다.	설계 문서에 클래스도와 시퀀스도를 그려 신규 입사자가 구조를 파악하게 한다.	사물·관계·다이어그램 세 가지로 이루어진 표준 그림 언어.	스테레오타입 / 클래스 다이어그램	구성 요소 3가지를 묻거나, 구성 요소가 아닌 것을 고르게 한다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
연관 관계	Association	두 사물이 서로를 참조하며 개념적으로 연결된 관계	실선으로 표현하고 방향을 화살표로 표시한다. 다중도(Multiplicity)를 선 위에 적는다.	주문 클래스가 회원 클래스를 필드로 들고 있는 관계 — 실선으로 잇는다.	실선 = 계속 아는 사이.	집합 관계 / 의존 관계	관계 6종의 기호와 이름을 바꿔 낸다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
집합 관계	Aggregation	한 사물이 다른 사물에 포함되는 관계로, 포함되는 쪽이 독립적으로 존재할 수 있는 관계	속이 빈 마름모로 표현한다. 포함 관계(Composition)는 속이 찬 마름모이며 생명주기를 공유한다.	팀과 팀원 — 팀이 해체돼도 사람은 남는다. 빈 마름모.	빈 마름모 = 헤어져도 각자 산다.	포함 관계 / 연관 관계	빈 마름모와 찬 마름모를 바꿔 낸다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
포함 관계	Composition	포함되는 사물이 포함하는 사물의 생명주기에 종속되는 강한 소유 관계	속이 채워진 마름모로 표현한다. 전체가 사라지면 부분도 사라진다.	주문과 주문상세 — 주문을 지우면 주문상세도 의미가 없다. 찬 마름모.	찬 마름모 = 운명 공동체.	집합 관계	집합 관계와의 강도 차이를 묻는다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
일반화 관계	Generalization	한 사물이 다른 사물을 좀 더 포괄하는 상위 개념인 관계	속이 빈 삼각형 화살표를 상위 개념 쪽에 붙인다. 상속 관계에 해당한다.	결제수단을 부모로 두고 카드결제·계좌이체를 자식으로 두는 상속 구조.	빈 삼각형 + 실선 = 「~는 ~의 한 종류」.	실체화 관계 / 의존 관계	빈 삼각형(일반화)과 점선 삼각형(실체화)을 구별한다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
의존 관계	Dependency	한 사물이 다른 사물을 일시적으로 사용하는 관계	점선 화살표로 표현한다. 연관 관계와 달리 관계가 짧은 시간만 유지된다.	메서드 안에서 잠깐 Logger를 만들어 쓰고 버리는 관계 — 점선.	점선 = 잠깐 스치는 사이.	연관 관계 / 실체화 관계	실선(연관)과 점선(의존)의 구별.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
실체화 관계	Realization	인터페이스에 정의된 기능을 클래스가 구현하는 관계	점선에 속이 빈 삼각형 화살표로 표현한다. 사물이 할 수 있는 기능(인터페이스)으로 서로를 그룹화한다.	PaymentGateway 인터페이스를 KakaoPay 클래스가 구현하는 관계.	점선 + 빈 삼각형 = 「약속대로 만들었다」.	일반화 관계 / 의존 관계	일반화와 기호가 비슷해 헷갈린다. 점선 여부로 구별.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
유스케이스 다이어그램	Use Case Diagram	사용자 관점에서 시스템의 기능과 사용자를 표현하는 구조적 다이어그램	구성 요소는 시스템 범위, 액터, 유스케이스, 관계다. 액터는 사람뿐 아니라 외부 시스템일 수도 있다.	「회원 — 주문하기 — 결제 게이트웨이」로 시스템이 누구에게 무엇을 해 주는지 한 장에 담는다.	사용자 눈높이의 기능 지도.	시퀀스 다이어그램 / 액터 / 포함 관계	정적(구조) 다이어그램 분류에 속한다는 점이 자주 나온다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
클래스 다이어그램	Class Diagram	클래스, 속성, 연산과 클래스 간 관계를 표현하는 구조적 다이어그램	클래스는 이름·속성·연산 3칸으로 그린다. 접근 제어자는 + public, - private, # protected, ~ package로 표기한다.	Order 클래스에 orderId·amount 속성과 cancel() 연산을 3칸 박스로 그린다.	이름·속성·연산 3칸. + - # ~ 는 접근 범위.	객체 다이어그램 / 컴포넌트 다이어그램	접근 제어자 기호를 묻는다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
시퀀스 다이어그램	Sequence Diagram	객체 간 메시지를 시간 순서에 따라 표현하는 행위 다이어그램	구성 요소는 액터, 객체, 생명선(Lifeline), 실행 상자(Activation Box), 메시지다. 시간 흐름은 위에서 아래로 흐른다.	「사용자 → 컨트롤러 → 서비스 → DB」로 로그인 한 번의 호출 순서를 위에서 아래로 그린다.	위에서 아래로 흐르는 시간표.	커뮤니케이션 다이어그램 / 유스케이스 다이어그램 / 생명선	동적(행위) 다이어그램 분류와 구성 요소를 묻는다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
커뮤니케이션 다이어그램	Communication Diagram	메시지 전달과 함께 객체 간 연관 관계까지 표현하는 행위 다이어그램	시퀀스 다이어그램과 내용은 같으나 시간 축 대신 객체 간 링크 구조를 강조한다.	같은 로그인 흐름을 시간축 없이 객체 간 연결선 중심으로 그린다.	시퀀스는 시간, 커뮤니케이션은 관계.	시퀀스 다이어그램	둘의 차이(시간 축 vs 연관 관계)를 묻는다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
상태 다이어그램	State Diagram	객체가 사건에 따라 어떤 상태로 변하는지 표현하는 행위 다이어그램	상태 전이도라고도 한다. 실시간 시스템이나 라이프사이클이 복잡한 객체 분석에 쓴다.	주문이 「접수 → 결제완료 → 배송중 → 완료/취소」로 옮겨 다니는 그림.	사건이 오면 상태가 바뀐다.	활동 다이어그램 / 프로세스 상태	행위 다이어그램 분류.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
활동 다이어그램	Activity Diagram	처리 흐름을 순서에 따라 표현해 어떤 기능이 어떻게 수행되는지 보여 주는 행위 다이어그램	분기(Decision), 병합(Merge), 포크(Fork), 조인(Join)을 사용한다. 순서도와 유사하다.	「재고 확인 → 있으면 결제, 없으면 품절 안내」처럼 처리 흐름을 순서도처럼 그린다.	순서도의 UML 버전. 분기·병행 표현.	상태 다이어그램 / 자료 흐름도	활동과 상태 다이어그램을 바꿔 낸다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
패키지 다이어그램	Package Diagram	유스케이스·클래스 등의 모델 요소를 그룹화한 패키지 간 의존 관계를 표현	구조적 다이어그램에 속한다. 시스템의 논리적 구조 단위를 보여 준다.	com.shop.order 와 com.shop.pay 패키지가 서로 어떻게 의존하는지 그린다.	폴더 사이의 의존 지도.	컴포넌트 다이어그램 / 배치 다이어그램	구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
배치 다이어그램	Deployment Diagram	결과물·프로세스·컴포넌트의 물리적 배치를 표현하는 구조적 다이어그램	노드(Node)와 통신 경로를 그려 하드웨어 배치를 보여 준다. 물리라는 단어가 핵심이다.	「웹서버 2대 — WAS 4대 — DB 이중화」처럼 실제 장비 배치를 그린다.	물리(Physical)라는 말이 나오면 배치.	컴포넌트 다이어그램 / 패키지 다이어그램	물리적 배치 = 배치 다이어그램.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
스테레오타입	Stereotype	UML에서 기본 요소 외의 새로운 요소를 표현하기 위해 겹화살괄호로 표기하는 확장 표기	>, >, >, > 처럼 쓴다. 길러멧(Guillemet) 기호라고도 한다.	> PaymentGateway 처럼 겹화살괄호로 요소의 성격을 덧붙인다.	겹화살괄호 > 를 보면 스테레오타입.	UML / 확장 관계	겹화살괄호 기호의 이름을 묻는다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
액터	Actor	유스케이스 다이어그램에서 시스템과 상호작용하는 모든 외부 요소	사람뿐 아니라 외부 시스템·장치도 액터가 될 수 있다. 주 액터(사용자)와 부 액터(외부 시스템)로 나눈다.	주문 유스케이스의 액터는 「회원」뿐 아니라 외부 「PG사 시스템」도 된다.	액터는 사람만이 아니다 — 외부 시스템도 배우다.	유스케이스 다이어그램 / 확장 관계	액터가 사람만이라는 문장이 오답이다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
생명선	Lifeline	시퀀스 다이어그램에서 객체가 존재하는 기간을 나타내는 점선	점선 위의 사각형(실행 상자)이 실제로 활동 중인 구간이다.	시퀀스도에서 Order 객체 아래로 뻗은 점선이 그 객체가 살아 있는 구간이다.	점선은 「살아 있음」, 사각형은 「일하는 중」.	시퀀스 다이어그램 / 커뮤니케이션 다이어그램	시퀀스 다이어그램 구성 요소 나열형.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
객체 다이어그램	Object Diagram	클래스에 속한 객체의 인스턴스를 특정 시점의 상태로 표현한 구조적 다이어그램	클래스 다이어그램의 인스턴스 스냅샷이다. 럼바우 방법의 객체 모델링에서 사용한다.	「order#1001: Order (amount=52000)」처럼 특정 순간의 실제 값을 찍어 그린다.	클래스도의 스냅샷.	클래스 다이어그램 / 럼바우 방법	구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
컴포넌트 다이어그램	Component Diagram	실제 구현 모듈인 컴포넌트 간의 구성과 의존 관계를 표현한 구조적 다이어그램	구현 단계에서 사용한다. 물리적 배치는 배치 다이어그램이다.	결제 모듈 jar 가 인증 모듈 jar 에 의존하는 구조를 그린다.	구현 단위(모듈·jar)의 의존 지도.	배치 다이어그램 / 패키지 다이어그램 / 컴포넌트	구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
확장 관계	Extend Relationship	유스케이스가 특정 조건에서 다른 유스케이스의 기능을 확장하는 관계	> 스테레오타입으로 표기한다. 포함 관계는 >로 항상 실행되는 공통 기능이다.	「주문하기」에 조건부로 「쿠폰 적용하기」가 붙으면 >다.	include는 항상, extend는 조건부.	스테레오타입 / 유스케이스 다이어그램 / 액터	include와 extend의 조건 여부를 바꿔 낸다.	1-3 UML (1과목)	유형_용어 과목1 챕터_1_3
애자일	Agile	변화에 유연하게 대응하며 고객과 협력해 점진적으로 개발하는 방법론군	선언문 4가지 가치는 프로세스·도구보다 개인과 상호작용, 문서보다 실행되는 소프트웨어, 계약 협상보다 고객과의 협력, 계획 준수보다 변화에 대응하기다.	2주마다 쓸 수 있는 기능을 내놓고 고객 반응을 보며 다음 2주를 다시 정한다.	문서보다 돌아가는 소프트웨어 — 좌우를 바꿔 내는 게 함정.	XP / 스크럼 / 린 / 폭포수 모형	4가지 가치의 좌우를 뒤바꿔 낸다. 문서보다 소프트웨어가 맞다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
XP	eXtreme Programming	짧은 개발 주기를 반복하며 고객 참여와 소통을 극대화하는 애자일 방법론	5가지 핵심 가치는 용기, 단순성, 의사소통, 피드백, 존중이다. 1~3주 단위 릴리즈로 자주 배포한다.	짝 프로그래밍과 테스트 우선 작성을 규칙으로 삼고 1~2주마다 릴리즈한다.	용·단·의·피·존 : 용기, 단순성, 의사소통, 피드백, 존중.	스크럼 / 페어 프로그래밍 / 테스트 주도 개발	5가지 가치와 12개 실천 항목을 나열형으로 낸다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
